store_id,store_name,store_location,region,store_format,first_issue_date
653019268428,Dong Thap 735,Dong Thap,Mekong River Delta,Online Store,2023-01-17T08:14:08.000+07:00
945797291073,Dong Nai 961,Dong Nai,South East,Wholesaler,2022-07-21T00:24:52.000+07:00
832750832034,Kon Tum 962,Kon Tum,Central Highlands,Store,2024-04-09T04:28:16.000+07:00
490596013736,Dong Nai 737,Dong Nai,South East,Retailer,2023-10-08T10:52:40.000+07:00
978140939794,Yen Bai 612,Yen Bai,North West,Supermarket,2023-03-08T03:14:36.000+07:00
785433757668,Nam Dinh 881,Nam Dinh,Red River Delta,Convenience Store,2024-03-22T09:54:42.000+07:00
968418161890,Dong Nai 602,Dong Nai,South East,Online Store,2023-01-27T04:03:13.000+07:00
150986591469,Hau Giang 379,Hau Giang,Red River Delta,Supermarket,2023-08-17T04:49:16.000+07:00
686814503319,Soc Trang 169,Soc Trang,Mekong River Delta,Convenience Store,2024-12-25T10:45:32.000+07:00
824429700047,Dak Nong 945,Dak Nong,Central Highlands,Store,2024-08-08T05:50:50.000+07:00
111710396997,Nam Dinh 404,Nam Dinh,Red River Delta,Supermarket,2021-10-30T03:36:05.000+07:00
227193309412,Quang Tri 318,Quang Tri,North Central Coast,Online Store,2022-04-03T07:09:08.000+07:00
990532316216,Hoa Binh 646,Hoa Binh,North West,Online Store,2021-10-08T11:02:09.000+07:00
686604140348,Dak Nong 921,Dak Nong,Central Highlands,Online Store,2024-02-23T06:13:10.000+07:00
961416610781,Kien Giang 238,Kien Giang,Mekong River Delta,Supermarket,2021-12-10T08:51:31.000+07:00
681627620903,Nam Dinh 957,Nam Dinh,Red River Delta,Wholesaler,2024-10-21T01:14:05.000+07:00
428978143672,Binh Dinh 358,Binh Dinh,South Central Coast,Retailer,2023-04-21T22:12:47.000+07:00
391392247973,Nghe An 581,Nghe An,North Central Coast,Shop,2021-10-11T14:14:09.000+07:00
676735665994,Kon Tum 677,Kon Tum,Central Highlands,Shop,2023-08-13T05:24:44.000+07:00
432967707278,Thua Thien Hue 478,Thua Thien Hue,North Central Coast,Wholesaler,2023-10-06T19:17:33.000+07:00
368787933595,Binh Dinh 875,Binh Dinh,South Central Coast,Supermarket,2023-10-22T18:43:59.000+07:00
980650227241,Da Nang 911,Da Nang,South Central Coast,Retailer,2025-05-15T18:01:21.000+07:00
690182754471,Can Tho 190,Can Tho,Mekong River Delta,Wholesaler,2024-07-09T16:54:31.000+07:00
714043371287,Ha Tinh 611,Ha Tinh,North Central Coast,Retailer,2020-02-20T08:57:42.000+07:00
305740721099,Phu Yen 688,Phu Yen,South Central Coast,Online Store,2023-07-02T10:47:57.000+07:00
552135431565,Vinh Phuc 332,Vinh Phuc,Red River Delta,Convenience Store,2020-01-11T21:54:41.000+07:00
509140263168,Vinh Long 692,Vinh Long,Mekong River Delta,Shop,2020-11-27T14:27:32.000+07:00
664955094133,Ha Nam 646,Ha Nam,Red River Delta,Retailer,2021-04-06T22:06:24.000+07:00
748864239291,Dien Bien 844,Dien Bien,North West,Supermarket,2022-11-08T18:57:31.000+07:00
884088160852,Lao Cai 675,Lao Cai,North West,Wholesaler,2022-10-11T14:40:44.000+07:00
771846185925,Khanh Hoa 227,Khanh Hoa,South Central Coast,Store,2020-02-15T22:53:38.000+07:00
916252799486,Tay Ninh 581,Tay Ninh,South East,Online Store,2023-06-27T03:45:02.000+07:00
665361833389,Lam Dong 418,Lam Dong,Central Highlands,Online Store,2020-03-17T19:23:17.000+07:00
751805665586,Dong Nai 146,Dong Nai,South East,Supermarket,2025-03-24T20:14:57.000+07:00
420091296401,Binh Duong 318,Binh Duong,South East,Online Store,2021-01-02T14:56:05.000+07:00
430322368483,Khanh Hoa 638,Khanh Hoa,South Central Coast,Supermarket,2024-12-30T22:58:33.000+07:00
609767594399,Thua Thien Hue 943,Thua Thien Hue,North Central Coast,Online Store,2023-11-25T12:45:52.000+07:00
632654705462,Binh Phuoc 657,Binh Phuoc,South East,Online Store,2022-10-30T16:29:20.000+07:00
839859230450,Son La 977,Son La,North West,Shop,2022-06-26T07:47:59.000+07:00
210428163239,Long An 331,Long An,South East,Shop,2024-09-03T11:36:08.000+07:00
271470838870,Dak Lak 959,Dak Lak,Central Highlands,Store,2022-02-02T02:23:56.000+07:00
335545618511,Thua Thien Hue 944,Thua Thien Hue,North Central Coast,Supermarket,2020-07-21T05:47:19.000+07:00
905255559900,Thai Binh 292,Thai Binh,Red River Delta,Supermarket,2023-03-04T07:49:17.000+07:00
278513078952,Soc Trang 134,Soc Trang,Mekong River Delta,Shop,2021-11-11T15:00:31.000+07:00
153074094464,Thua Thien Hue 296,Thua Thien Hue,North Central Coast,Convenience Store,2025-01-03T10:07:58.000+07:00
730760548496,Dong Nai 857,Dong Nai,South East,Supermarket,2024-11-28T17:09:54.000+07:00
880800076439,Ha Tinh 532,Ha Tinh,North Central Coast,Supermarket,2020-02-15T18:48:48.000+07:00
951343600238,Khanh Hoa 856,Khanh Hoa,South Central Coast,Supermarket,2020-02-14T07:29:35.000+07:00
935505764329,Bac Ninh 801,Bac Ninh,North East,Shop,2021-02-18T14:24:08.000+07:00
442913306389,Binh Duong 565,Binh Duong,South East,Convenience Store,2020-11-30T09:59:43.000+07:00
755494586472,Gia Lai 543,Gia Lai,Central Highlands,Store,2021-11-06T23:07:27.000+07:00
278295043941,Can Tho 612,Can Tho,Mekong River Delta,Retailer,2022-05-10T01:26:50.000+07:00
770967187106,Ha Nam 182,Ha Nam,Red River Delta,Convenience Store,2024-04-17T13:03:55.000+07:00
194552088300,Dong Nai 805,Dong Nai,South East,Online Store,2023-03-27T05:56:43.000+07:00
832185359571,Binh Duong 723,Binh Duong,South East,Shop,2021-06-28T16:51:32.000+07:00
585094553084,Lam Dong 519,Lam Dong,Central Highlands,Wholesaler,2023-09-24T14:53:41.000+07:00
492304136849,Kien Giang 164,Kien Giang,Mekong River Delta,Store,2021-02-15T22:51:32.000+07:00
766369328110,Ninh Binh 192,Ninh Binh,North East,Wholesaler,2020-07-17T11:23:55.000+07:00
503701780032,Bac Ninh 145,Bac Ninh,Red River Delta,Supermarket,2024-12-05T21:32:56.000+07:00
217223381843,Dong Thap 207,Dong Thap,Mekong River Delta,Retailer,2020-06-22T03:54:14.000+07:00
968929061752,Ninh Binh 453,Ninh Binh,Red River Delta,Store,2020-10-30T09:28:41.000+07:00
100022765885,Can Tho 141,Can Tho,Mekong River Delta,Supermarket,2021-03-12T11:55:37.000+07:00
311732067667,Bac Ninh 835,Bac Ninh,Red River Delta,Wholesaler,2020-09-29T15:41:08.000+07:00
917448256743,Ninh Binh 532,Ninh Binh,Red River Delta,Wholesaler,2023-08-16T06:59:07.000+07:00
